{'loss': 0.5716, 'grad_norm': 11210024.0, 'learning_rate': 4.929078014184397e-05, 'epoch': 0.04}
{'loss': 0.3369, 'grad_norm': 1175909.0, 'learning_rate': 1.7375886524822697e-05, 'epoch': 1.95}
{'loss': 0.4639, 'grad_norm': 1983684.125, 'learning_rate': 1.6666666666666667e-05, 'epoch': 2.0}
{'eval_loss': 0.4190838932991028, 'eval_accuracy': 0.8046937151949085, 'eval_f1': 0.5821276595744681, 'eval_precision': 0.5265588914549654, 'eval_recall': 0.6508087535680305, 'eval_runtime': 24.7609, 'eval_samples_per_second': 203.062, 'eval_steps_per_second': 6.381, 'epoch': 2.0}
{'loss': 0.4232, 'grad_norm': 667105.8125, 'learning_rate': 1.595744680851064e-05, 'epoch': 2.04}
{'loss': 0.3946, 'grad_norm': 491087.15625, 'learning_rate': 1.5248226950354611e-05, 'epoch': 2.08}
{'loss': 0.3404, 'grad_norm': 1396266.25, 'learning_rate': 1.4539007092198581e-05, 'epoch': 2.13}
{'loss': 0.4064, 'grad_norm': 1073624.0, 'learning_rate': 1.3829787234042554e-05, 'epoch': 2.17}
{'loss': 0.4043, 'grad_norm': 2641416.0, 'learning_rate': 1.3120567375886524e-05, 'epoch': 2.21}
{'loss': 0.3943, 'grad_norm': 1818067.875, 'learning_rate': 1.2411347517730498e-05, 'epoch': 2.25}
{'loss': 0.3619, 'grad_norm': 1108686.0, 'learning_rate': 1.170212765957447e-05, 'epoch': 2.3}
{'loss': 0.366, 'grad_norm': 553876.5, 'learning_rate': 1.0992907801418441e-05, 'epoch': 2.34}
{'loss': 0.377, 'grad_norm': 1479591.125, 'learning_rate': 1.0283687943262411e-05, 'epoch': 2.38}
{'loss': 0.3854, 'grad_norm': 1475982.125, 'learning_rate': 9.574468085106383e-06, 'epoch': 2.42}
{'loss': 0.3735, 'grad_norm': 645810.6875, 'learning_rate': 8.865248226950355e-06, 'epoch': 2.47}
{'loss': 0.342, 'grad_norm': 1399918.375, 'learning_rate': 8.156028368794328e-06, 'epoch': 2.51}
{'loss': 0.3532, 'grad_norm': 1200289.375, 'learning_rate': 7.446808510638298e-06, 'epoch': 2.55}
{'loss': 0.3223, 'grad_norm': 1331902.0, 'learning_rate': 6.73758865248227e-06, 'epoch': 2.59}
{'loss': 0.385, 'grad_norm': 1076640.625, 'learning_rate': 6.028368794326241e-06, 'epoch': 2.64}
{'loss': 0.3509, 'grad_norm': 665211.8125, 'learning_rate': 5.319148936170213e-06, 'epoch': 2.68}
{'loss': 0.3269, 'grad_norm': 916956.5, 'learning_rate': 4.609929078014184e-06, 'epoch': 2.72}
{'loss': 0.3826, 'grad_norm': 1397764.75, 'learning_rate': 3.9007092198581565e-06, 'epoch': 2.76}
{'loss': 0.3491, 'grad_norm': 949907.375, 'learning_rate': 3.1914893617021277e-06, 'epoch': 2.81}
{'loss': 0.4042, 'grad_norm': 821199.375, 'learning_rate': 2.4822695035460995e-06, 'epoch': 2.85}
{'loss': 0.3893, 'grad_norm': 627765.6875, 'learning_rate': 1.7730496453900712e-06, 'epoch': 2.89}
{'loss': 0.4146, 'grad_norm': 3831513.5, 'learning_rate': 1.0638297872340427e-06, 'epoch': 2.93}
{'loss': 0.3937, 'grad_norm': 1680751.375, 'learning_rate': 3.546099290780142e-07, 'epoch': 2.98}
{'eval_loss': 0.38567036390304565, 'eval_accuracy': 0.834128878281623, 'eval_f1': 0.5472312703583062, 'eval_precision': 0.6371681415929203, 'eval_recall': 0.47954329210275926, 'eval_runtime': 24.4044, 'eval_samples_per_second': 206.029, 'eval_steps_per_second': 6.474, 'epoch': 3.0}
{'train_runtime': 951.6029, 'train_samples_per_second': 23.77, 'train_steps_per_second': 0.741, 'train_loss': 0.4091454137301614, 'epoch': 3.0}
