{'loss': 1.489, 'grad_norm': 19775098.0, 'learning_rate': 4.929078014184397e-05, 'epoch': 0.04}
{'loss': 0.3837, 'grad_norm': 2914430.5, 'learning_rate': 2.3049645390070924e-05, 'epoch': 1.62}
{'loss': 0.3266, 'grad_norm': 7961781.0, 'learning_rate': 2.2340425531914894e-05, 'epoch': 1.66}
{'loss': 0.3726, 'grad_norm': 3080311.5, 'learning_rate': 2.1631205673758867e-05, 'epoch': 1.7}
{'loss': 0.3675, 'grad_norm': 14236108.0, 'learning_rate': 2.0921985815602837e-05, 'epoch': 1.74}
{'loss': 0.4047, 'grad_norm': 1259444.75, 'learning_rate': 2.0212765957446807e-05, 'epoch': 1.79}
{'loss': 0.3681, 'grad_norm': 2935042.0, 'learning_rate': 1.950354609929078e-05, 'epoch': 1.83}
{'loss': 0.3853, 'grad_norm': 2204292.75, 'learning_rate': 1.879432624113475e-05, 'epoch': 1.87}
{'loss': 0.3698, 'grad_norm': 8359616.5, 'learning_rate': 1.8085106382978724e-05, 'epoch': 1.91}
{'loss': 0.3451, 'grad_norm': 4371837.5, 'learning_rate': 1.7375886524822697e-05, 'epoch': 1.95}
{'loss': 0.4283, 'grad_norm': 9210109.0, 'learning_rate': 1.6666666666666667e-05, 'epoch': 2.0}
{'eval_loss': 0.3792116641998291, 'eval_accuracy': 0.8343277645186953, 'eval_f1': 0.5594923320994183, 'eval_precision': 0.6297619047619047, 'eval_recall': 0.5033301617507137, 'eval_runtime': 23.6619, 'eval_samples_per_second': 212.494, 'eval_steps_per_second': 6.677, 'epoch': 2.0}
{'loss': 0.3863, 'grad_norm': 2970892.25, 'learning_rate': 1.595744680851064e-05, 'epoch': 2.04}
{'loss': 0.379, 'grad_norm': 856422.5, 'learning_rate': 1.5248226950354611e-05, 'epoch': 2.08}
{'loss': 0.3287, 'grad_norm': 3086785.0, 'learning_rate': 1.4539007092198581e-05, 'epoch': 2.13}
{'loss': 0.3872, 'grad_norm': 2274709.0, 'learning_rate': 1.3829787234042554e-05, 'epoch': 2.17}
{'loss': 0.3955, 'grad_norm': 5816127.5, 'learning_rate': 1.3120567375886524e-05, 'epoch': 2.21}
{'loss': 0.3981, 'grad_norm': 2514123.25, 'learning_rate': 1.2411347517730498e-05, 'epoch': 2.25}
{'loss': 0.3719, 'grad_norm': 3352855.5, 'learning_rate': 1.170212765957447e-05, 'epoch': 2.3}
{'loss': 0.3821, 'grad_norm': 1513582.125, 'learning_rate': 1.0992907801418441e-05, 'epoch': 2.34}
{'loss': 0.3748, 'grad_norm': 3001166.25, 'learning_rate': 1.0283687943262411e-05, 'epoch': 2.38}
{'loss': 0.3954, 'grad_norm': 2714020.5, 'learning_rate': 9.574468085106383e-06, 'epoch': 2.42}
{'loss': 0.375, 'grad_norm': 672919.0, 'learning_rate': 8.865248226950355e-06, 'epoch': 2.47}
{'loss': 0.3377, 'grad_norm': 3064287.5, 'learning_rate': 8.156028368794328e-06, 'epoch': 2.51}
{'loss': 0.3636, 'grad_norm': 3945364.5, 'learning_rate': 7.446808510638298e-06, 'epoch': 2.55}
{'loss': 0.3135, 'grad_norm': 966926.8125, 'learning_rate': 6.73758865248227e-06, 'epoch': 2.59}
{'loss': 0.3813, 'grad_norm': 3206888.5, 'learning_rate': 6.028368794326241e-06, 'epoch': 2.64}
{'loss': 0.3322, 'grad_norm': 830957.3125, 'learning_rate': 5.319148936170213e-06, 'epoch': 2.68}
{'loss': 0.3183, 'grad_norm': 1731315.375, 'learning_rate': 4.609929078014184e-06, 'epoch': 2.72}
{'loss': 0.3745, 'grad_norm': 1506258.0, 'learning_rate': 3.9007092198581565e-06, 'epoch': 2.76}
{'loss': 0.3668, 'grad_norm': 1211581.875, 'learning_rate': 3.1914893617021277e-06, 'epoch': 2.81}
{'loss': 0.4013, 'grad_norm': 971220.9375, 'learning_rate': 2.4822695035460995e-06, 'epoch': 2.85}
{'loss': 0.3895, 'grad_norm': 2082318.75, 'learning_rate': 1.7730496453900712e-06, 'epoch': 2.89}
{'loss': 0.4038, 'grad_norm': 7223601.0, 'learning_rate': 1.0638297872340427e-06, 'epoch': 2.93}
{'loss': 0.3903, 'grad_norm': 1895873.75, 'learning_rate': 3.546099290780142e-07, 'epoch': 2.98}
{'eval_loss': 0.3809807300567627, 'eval_accuracy': 0.835719968178202, 'eval_f1': 0.5601703940362087, 'eval_precision': 0.6360338573155986, 'eval_recall': 0.5004757373929591, 'eval_runtime': 24.5203, 'eval_samples_per_second': 205.055, 'eval_steps_per_second': 6.444, 'epoch': 3.0}
{'train_runtime': 891.7159, 'train_samples_per_second': 25.367, 'train_steps_per_second': 0.791, 'train_loss': 0.41552582345110306, 'epoch': 3.0}
